customer_id,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus,cust_name,Bonus_ROI,Age_Group,Customer_Lifetime_Value,Income_Category
9936,Luxembourg,37,Male,24678,54,9,293,37.0,95151,998,100,1000,5000,500,50000,No,Misty Brown,4.0,31-45,500000,Low Income
4237,South Georgia and the South Sandwich Islands,26,Male,121168,38,14,300,42.0,94933,994,100,1000,5000,500,50000,Yes,Cynthia Ford,4.0,18-30,500000,High Income
5609,Nicaragua,74,Male,60929,33,7,148,28.0,89927,995,100,1000,5000,500,50000,No,Cynthia Munoz,4.0,60+,500000,Middle Income
2456,Saint Martin,62,Male,32434,16,35,336,31.0,94270,997,100,1000,5000,500,50000,No,Angela Anderson,4.0,60+,500000,Middle Income
8815,American Samoa,32,Female,68083,16,19,141,39.0,98939,991,100,1000,5000,500,50000,No,Jason Myers,4.0,31-45,500000,Middle Income
7534,Congo,47,Male,137757,29,16,256,48.0,88466,987,100,1000,5000,500,50000,Yes,Rachel Harris,4.0,46-60,500000,High Income
6052,Christmas Island,29,Female,82996,70,11,343,31.0,95442,996,100,1000,5000,500,50000,Yes,Rhonda Hensley,4.0,18-30,500000,High Income
2394,San Marino,32,Male,23823,32,20,329,41.0,97800,991,100,1000,5000,500,50000,Yes,Cassidy Gomez,4.0,31-45,500000,Low Income
7528,Western Sahara,36,Male,143130,24,8,235,39.0,93816,998,100,1000,5000,500,50000,No,Jody Edwards,4.0,31-45,500000,High Income
5285,Congo,80,Female,81637,19,26,314,43.0,95505,992,100,1000,5000,500,50000,Yes,Ashley Jones,4.0,60+,500000,High Income
4727,India,26,Male,128296,61,10,97,20.0,78771,975,99,1000,5000,500,50000,Yes,Andrew Peterson,4.0,18-30,495000,High Income
7135,Montenegro,64,Male,26989,22,18,199,47.0,89555,988,100,1000,5000,500,50000,Yes,Robin Eaton,4.0,60+,500000,Low Income
7080,Portugal,49,Female,46011,31,6,249,35.0,92917,1000,100,1000,5000,500,50000,No,Lacey Nichols,4.0,46-60,500000,Middle Income
7859,Lithuania,52,Male,22975,68,7,285,35.0,93762,999,100,1000,5000,500,50000,No,Dennis Freeman,4.0,46-60,500000,Low Income
